Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,US Start Date
10179,Ultimate Collector's Millennium Falcon,2007,Star Wars,5197,5,499.99,2007-10-24
4993,Cool Convertible,2008,Creator,648,,49.99,2008-05-26
8293,LEGO® Power Functions Motor Set,2008,Power Functions,10,,29.99,2008-06-27
6745,Propeller Power,2009,Creator,247,,19.99,2008-12-05
6747,Race Rider,2009,Creator,266,,19.99,2008-12-28
21003,Seattle Space Needle,2009,Architecture,57,,19.99,2009-02-01
8878,Rechargeable Battery Box,2009,Power Functions,1,,49.99,2009-04-02
6753,Highway Transport,2009,Creator,1294,,89.99,2009-06-04
8258,Crane Truck,2009,Technic,1877,,149.99,2009-07-01
5892,Sonic Boom,2010,Creator,539,,59.99,2010-05-29
8043,Motorized Excavator,2010,Technic,1123,,199.99,2010-08-09
10214,Tower Bridge,2010,Advanced Models,4287,,239.99,2010-10-03
8070,Super Car,2011,Technic,1281,,119.99,2011-03-05
10218,Pet Shop,2011,Advanced Models,2032,4,149.99,2011-05-12
8109,Flatbed Truck,2011,Technic,1115,,99.99,2011-08-05
10220,Volkswagen T1 Camper Van,2011,Advanced Models,1332,,119.99,2011-09-28
7292,Propeller Adventures,2012,Creator,241,,19.99,2011-11-11
9392,Quad Bike,2012,Technic,199,,24.99,2011-12-15
9489,Endor Rebel Trooper & Imperial Trooper Battle Pack,2012,Star Wars,77,4,12.99,2012-02-02
9492,TIE Fighter,2012,Star Wars,413,4,54.99,2012-02-02
9495,Gold Leader's Y-wing Starfighter,2012,Star Wars,458,3,49.99,2012-02-02
9493,X-wing Starfighter,2012,Star Wars,560,4,59.99,2012-02-21
10225,R2-D2,2012,Star Wars,2127,1,179.99,2012-05-04
21102,Minecraft Micro World: The Forest,2012,Ideas,480,2,34.99,2012-06-19
9396,Helicopter,2012,Technic,1056,,119.99,2012-07-23
9398,4x4 Crawler,2012,Technic,1327,,199.99,2012-07-23
10227,B-Wing Starfighter,2012,Star Wars,1487,,199.99,2012-10-01
42007,Moto Cross Bike,2013,Technic,253,,39.99,2012-12-28
10232,Palace Cinema,2013,Advanced Models,2196,6,149.99,2013-03-01
42000,Grand Prix Racer,2013,Technic,1141,,129.99,2013-03-01
10240,Red Five X-wing Starfighter,2013,Star Wars,1559,1,199.99,2013-05-05
31011,Aviation Adventures,2013,Creator,618,,59.99,2013-05-29
21050,Architecture Studio,2013,Architecture,1210,,159.99,2013-08-01
21103,The DeLorean Time Machine,2013,Ideas,401,2,34.99,2013-08-01
42009,Mobile Crane MK II,2013,Technic,2606,,219.99,2013-08-01
75019,AT-TE,2013,Star Wars,794,5,89.99,2013-08-01
10236,Ewok Village,2013,Star Wars,1990,17,249.99,2013-09-01
21105,The Village,2013,Minecraft,466,3,34.99,2013-09-02
21106,The Nether,2013,Minecraft,469,3,34.99,2013-09-02
31313,Mindstorms EV3,2013,Mindstorms,601,,349.99,2013-09-02
45514,Cable Pack,2013,Education,7,,16.99,2014-01-04
45501,DC Rechargeable Battery,2013,Education,,,88.99,2014-12-30
45504,EV3 Ultrasonic Sensor,2013,Mindstorms,1,,31.99,2014-12-30
45505,EV3 Gyro Sensor,2013,Mindstorms,1,,31.99,2015-01-29
5001622,LEGO Store Employee,2013,Promotional,5,1,,
70807,MetalBeard's Duel,2014,The LEGO Movie,412,3,34.99,2013-12-30
