Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,Running Total,Released,US Start Date,US End Date
10294,Titanic,2021,Icons,9090,,679.99,679.99,True,2021-12-05,
40558,Clone Trooper Command Station,2022,Star Wars,66,3,14.99,694.98,True,2022-01-19,
76406,Hungarian Horntail Dragon,2022,Harry Potter,671,1,49.99,744.97,True,2022-05-07,
10306,Atari 2600,2022,Icons,2532,1,239.99,984.96,True,2022-07-26,
40574,LEGO Brand Store,2022,Promotional,541,2,36.99,1021.95,True,2022-07-26,2022-08-01
60333,Bathtub Stunt Bike,2022,City,14,1,7.99,1029.94,True,2022-07-26,
60337,Express Passenger Train,2022,City,764,6,189.99,1219.93,True,2022-07-26,
76218,Sanctum Sanctorum,2022,Marvel Super Heroes,2708,9,249.99,1469.92,True,2022-07-26,
76405,Hogwarts Express - Collectors' Edition,2022,Harry Potter,5129,20,499.99,1969.91,True,2022-08-11,
21335,Motorized Lighthouse,2022,Ideas,2065,,299.99,2269.90,True,2022-08-19,
75331,The Razor Crest,2022,Star Wars,6187,,599.99,2869.89,True,2022-09-27,
