Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,Running Total,Released,US Start Date,US End Date,Last Updated
10179,Ultimate Collector's Millennium Falcon,2007,Star Wars,5197,5,499.99,499.99,true,2007-10-24,2010-05-04,2017-08-23 21:44:34
10214,Tower Bridge,2010,Advanced Models,4287,,239.99,739.98,true,2010-10-03,,2015-02-21 22:21:09
10218,Pet Shop,2011,Advanced Models,2032,4,149.99,889.97,true,2011-05-12,2016-11-26,2013-01-24 09:38:07
10220,Volkswagen T1 Camper Van,2011,Advanced Models,1332,,119.99,1009.96,true,2011-09-28,,2012-09-15 00:55:05
10225,R2-D2,2012,Star Wars,2127,1,179.99,1189.95,true,2012-05-04,2014-11-08,2012-01-16 01:56:08
10227,B-Wing Starfighter,2012,Star Wars,1487,,199.99,1389.94,true,2012-10-01,2013-11-05,2012-10-07 15:50:08
10232,Palace Cinema,2013,Advanced Models,2196,6,149.99,1539.93,true,2013-03-01,,2017-01-17 15:47:14
10236,Ewok Village,2013,Star Wars,1990,17,249.99,1789.92,true,2013-09-01,2016-11-29,2016-04-14 19:47:28
10240,Red Five X-wing Starfighter,2013,Star Wars,1559,1,199.99,1989.91,true,2013-05-05,2015-10-15,2013-05-02 04:18:10
10242,MINI Cooper MK VII,2014,Advanced Models,1077,,99.99,2089.90,true,2014-08-01,,2016-10-20 21:35:01
10243,Parisian Restaurant,2014,Advanced Models,2469,5,159.99,2249.89,true,2014-01-02,,2015-02-21 22:15:05
10245,Santa's Workshop,2014,Advanced Models,883,6,69.99,2319.88,true,2014-09-18,2016-11-26,2015-02-21 22:17:42
10246,Detective's Office,2015,Advanced Models,2262,6,159.99,2479.87,true,2015-01-01,,2015-02-21 22:25:00
10248,Ferrari F40,2015,Advanced Models,1158,,99.99,2579.86,true,2015-08-02,,2015-07-21 02:16:30
10249,Winter Toy Shop,2015,Advanced Models,898,8,79.99,2659.85,true,2015-10-02,2017-11-07,2016-06-14 23:36:38
10251,Brick Bank,2016,Advanced Models,2380,5,169.99,2829.84,true,2016-01-02,,2016-01-14 22:11:20
10252,Volkswagen Beetle,2016,Advanced Models,1167,,99.99,2929.83,true,2016-08-01,,2016-11-19 06:00:58
10253,Big Ben,2016,Advanced Models,4163,,249.99,3179.82,true,2016-07-02,,2016-06-14 23:39:35
10254,Winter Holiday Train,2016,Advanced Models,734,5,99.99,3279.81,true,2016-10-02,2017-11-12,2017-10-16 21:53:59
10255,Assembly Square,2017,Advanced Models,4002,9,279.99,3559.80,true,2017-01-02,,2016-12-08 19:36:22
10696,Medium Creative Brick Box,2015,Classic,484,,34.99,3594.79,true,2015-01-01,,2014-12-28 03:10:32
10699,32x32 Sand Baseplate,2015,Classic,1,,7.99,3602.78,true,2015-01-02,,2014-12-30 11:29:29
10700,32x32 Green Baseplate,2015,Classic,1,,7.99,3610.77,true,2015-01-07,,2014-12-30 11:29:30
10701,48x48 Grey Baseplate,2015,Classic,1,,14.99,3625.76,true,2015-01-07,,2014-12-28 03:10:37
21003,Seattle Space Needle,2009,Architecture,57,,19.99,3645.75,true,2009-02-01,2015-12-26,2012-05-25 20:35:17
21027,Berlin,2016,Architecture,289,,29.99,3675.74,true,2016-01-02,,2015-12-31 17:41:45
21033,Chicago,2017,Architecture,444,,39.99,3715.73,true,2017-01-02,,2016-11-16 19:34:28
21034,London,2017,Architecture,468,,39.99,3755.72,true,2017-01-02,,2016-11-21 13:17:22
21050,Architecture Studio,2013,Architecture,1210,,159.99,3915.71,true,2013-08-01,,2013-08-31 19:00:24
21102,Minecraft Micro World: The Forest,2012,Ideas,480,2,34.99,3950.70,true,2012-06-19,2015-01-15,2016-04-07 02:53:13
21103,The DeLorean Time Machine,2013,Ideas,401,2,34.99,3985.69,true,2013-08-01,2014-12-30,2016-04-07 02:53:27
21105,The Village,2013,Minecraft,466,3,34.99,4020.68,true,2013-09-02,2014-11-28,2016-05-18 13:37:28
21106,The Nether,2013,Minecraft,469,3,34.99,4055.67,true,2013-09-02,2015-01-14,2016-05-18 13:37:03
21107,The End,2014,Minecraft,440,4,34.99,4090.66,true,2014-06-03,2015-01-26,2014-06-01 02:24:42
21108,Ghostbusters Ecto-1,2014,Ideas,508,4,49.99,4140.65,true,2014-06-03,2016-11-02,2016-04-07 02:53:01
21109,Exo-Suit,2014,Ideas,321,2,34.99,4175.64,true,2014-12-28,2015-08-26,2016-08-19 19:03:40
21302,The Big Bang Theory,2015,Ideas,484,7,59.99,4235.63,true,2015-08-02,2016-12-16,2016-05-02 19:39:23
21303,WALL-E,2015,Ideas,677,,59.99,4295.62,true,2015-09-25,2016-11-20,2016-10-22 23:44:43
21304,Doctor Who,2015,Ideas,623,6,59.99,4355.61,true,2015-12-02,2016-11-20,2016-04-07 02:54:11
21305,Maze,2016,Ideas,769,,69.99,4425.60,true,2016-04-02,2016-11-25,2016-08-19 19:04:39
21306,The Beatles Yellow Submarine,2016,Ideas,553,5,59.99,4485.59,true,2016-11-01,,2017-04-10 01:55:44
21307,Caterham Seven 620R,2016,Ideas,771,,79.99,,true,,,2017-02-21 08:26:17
21309,NASA Apollo Saturn V,2017,Ideas,1969,,119.99,4605.58,true,2017-06-02,2017-11-18,2017-10-15 16:23:29
