US Order,,,,,,,,,,,,
Number,Name,Year,Theme,Pieces,Minifigs,Brickset URL,US Retail Price,Released,US Start Date,US End Date,UK Start Date,UK End Date
8275,Motorized Bulldozer,2007,Technic,1384,,http://brickset.com/sets/8275-1,149.99,true,20071024,20080307,20071024,20091215
10182,Cafe Corner,2007,Advanced Models,2056,3,http://brickset.com/sets/10182-1,139.99,true,20071024,20091206,20071024,20091015
10185,Green Grocer,2008,Advanced Models,2352,4,http://brickset.com/sets/10185-1,149.99,true,20080305,20101108,20080303,20101203
10195,Republic Dropship with AT-OT Walker,2009,Star Wars,1758,8,http://brickset.com/sets/10195-1,249.99,true,20090327,20111125,20090327,20111214
10197,Fire Brigade,2009,Advanced Models,2231,4,http://brickset.com/sets/10197-1,149.99,true,20090912,20131202,20090912,20131128
10198,Tantive IV,2009,Star Wars,1408,5,http://brickset.com/sets/10198-1,149.99,true,20090912,20120106,20090912,20111226
10210,Imperial Flagship,2010,Pirates,1664,9,http://brickset.com/sets/10210-1,179.99,true,20100104,20111220,20100104,20111214
10211,Grand Emporium,2010,Advanced Models,2182,7,http://brickset.com/sets/10211-1,149.99,true,20100303,20141005,20100303,20141025
7572,Quest Against Time,2010,Prince of Persia,506,4,http://brickset.com/sets/7572-1,49.99,true,20100412,20111126,20100419,20101218
10213,Shuttle Adventure,2010,Advanced Models,1204,3,http://brickset.com/sets/10213-1,99.99,true,20100628,20110428,20100614,20110721
10212,Imperial Shuttle,2010,Star Wars,2503,5,http://brickset.com/sets/10212-1,259.99,true,20100902,20121220,20100902,20121116
10231,Shuttle Expedition,2011,Advanced Models,1230,3,http://brickset.com/sets/10231-1,99.99,true,20110705,20121219,20110805,20121207
10221,Super Star Destroyer,2011,Star Wars,3152,5,http://brickset.com/sets/10221-1,399.99,true,20110827,20140603,20110827,20141004
10224,Town Hall,2012,Advanced Models,2766,8,http://brickset.com/sets/10224-1,199.99,true,20120303,20141004,20120303,20141017
41999,4x4 Crawler Exclusive Edition,2013,Technic,1585,,http://brickset.com/sets/41999-1,199.99,true,20130801,20130801,20130801,20130801
75054,AT-AT,2014,Star Wars,1138,5,http://brickset.com/sets/75054-1,109.99,true,20140802,20151117,20140601,20151114
70413,The Brick Bounty,2015,Pirates,745,7,http://brickset.com/sets/70413-1,99.99,true,20150301,20151127,20150301,20160102
10019,Rebel Blockade Runner,2001,Star Wars,1747,,http://brickset.com/sets/10019-1,200,true,,,,
5002812,Classic Spaceman Minifigure,2014,Space,19,2,http://brickset.com/sets/5002812-1,,true,,,,
5003082,Classic Pirate Minifigure,2015,Pirates,24,1,http://brickset.com/sets/5003082-1,,true,,,,
