Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,Running Total,Released,US Start Date,US End Date,Last Updated
40174,LEGO Chess,2017,Miscellaneous,1450,,54.99,54.99,true,2017-01-17,2017-04-05,2017-01-07 01:40:54
75879,Scuderia Ferrari SF16-H,2017,Speed Champions,,1,14.99,69.98,true,2017-02-17,,2017-02-13 09:58:13
75144,Snowspeeder,2017,Star Wars,1703,2,199.99,269.97,true,2017-05-05,,2017-05-03 17:14:14
31066,Space Shuttle Explorer,2017,Creator,285,1,29.99,299.96,true,2017-05-29,,2017-05-16 13:54:32
31070,Turbo Track Racer,2017,Creator,664,,59.99,359.95,true,2017-05-29,,2017-05-16 13:54:40
70913,Scarecrow Fearful Face-off,2017,The LEGO Batman Movie,141,2,14.99,374.94,true,2017-06-02,,2017-05-16 22:38:16
70914,Bane Toxic Truck Attack,2017,The LEGO Batman Movie,366,3,49.99,424.93,true,2017-06-02,,2017-05-16 22:38:17
70915,Two-Face Double Demolition,2017,The LEGO Batman Movie,564,4,59.99,484.92,true,2017-06-02,,2017-05-16 22:38:18
70916,The Batwing,2017,The LEGO Batman Movie,1053,3,89.99,574.91,true,2017-06-02,,2017-05-16 22:38:20
70917,The Ultimate Batmobile,2017,The LEGO Batman Movie,1456,8,139.99,714.90,true,2017-06-02,,2017-05-16 22:38:21
75182,Republic Fighter Tank,2017,Star Wars,305,4,24.99,739.89,true,2017-06-02,,2017-05-20 15:34:14
75183,Darth Vader Transformation,2017,Star Wars,282,6,24.99,764.88,true,2017-06-02,,2017-05-16 14:53:24
75191,Jedi Starfighter with Hyperdrive,2017,Star Wars,825,4,99.99,864.87,true,2017-06-02,,2017-05-26 02:34:10
75531,Stormtrooper Commander,2017,Star Wars,100,,24.99,889.86,true,2017-06-02,,2017-05-16 14:53:50
75532,Scout Trooper & Speeder Bike,2017,Star Wars,452,,54.99,944.85,true,2017-06-02,,2017-05-16 14:53:51
10258,London Bus,2017,Advanced Models,1686,,139.99,1084.84,true,2017-08-01,,2017-07-02 16:21:40
42064,Ocean Explorer,2017,Technic,1327,,119.99,1204.83,true,2017-08-01,,2016-11-09 02:26:19
42065,RC Tracked Racer,2017,Technic,370,,99.99,1304.82,true,2017-08-01,,2016-11-09 02:28:40
42066,Air Race Jet,2017,Technic,1151,,159.99,1464.81,true,2017-08-01,,2017-02-19 00:11:04
42069,Extreme Adventure,2017,Technic,2382,,179.99,1644.80,true,2017-08-01,,2017-07-29 20:08:05
42070,6x6 All Terrain Tow Truck,2017,Technic,1862,,289.99,1934.79,true,2017-08-01,,2017-07-29 20:08:07
70618,Destiny's Bounty,2017,The LEGO Ninjago Movie,2295,7,159.99,2094.78,true,2017-08-01,,2017-07-08 21:44:29
40173,Picture Frame,2017,Miscellaneous,,,16.99,2111.77,true,2017-08-04,2017-09-07,2017-05-17 18:39:51
70620,NINJAGO City,2017,The LEGO Ninjago Movie,4867,19,299.99,2411.76,true,2017-09-01,,2017-08-22 01:13:23
21310,Old Fishing Store,2017,Ideas,2049,,149.99,2561.75,true,2017-09-02,,2017-08-22 11:46:04
60155,City Advent Calendar,2017,City,248,,29.99,2591.74,true,2017-09-02,2017-09-27,2017-02-20 21:22:35
75184,Star Wars Advent Calendar,2017,Star Wars,309,,39.99,2631.73,true,2017-09-02,,2017-02-19 20:41:35
71349,Beetlejuice,2017,Dimensions,56,,14.99,2646.72,true,2017-09-13,,2017-09-10 09:45:16
41487,Lloyd,2017,BrickHeadz,102,,9.99,2656.71,true,2017-09-24,,2017-09-27 04:51:11
41488,Master Wu,2017,BrickHeadz,89,,9.99,2666.70,true,2017-09-24,,2017-09-27 04:51:02
10259,Winter Village Station,2017,Advanced Models,902,,79.99,,true,,,2017-09-17 08:50:51
21037,LEGO House,2017,Architecture,774,,,,true,,,2017-08-22 11:45:51
30609,Lloyd,2017,The LEGO Ninjago Movie,6,,,,true,,,2017-09-25 02:40:50
40178,Exclusive VIP Set,2017,Promotional,,,,,true,,,2017-09-17 14:59:08
40226,Birthday Buddy,2016,Seasonal,133,,,,true,,,2017-06-15 11:49:34
5004939,The LEGO Batman Movie Minifigures,2017,Promotional,27,,,,true,,,2017-09-27 08:01:23
75995,Mercedes AMG Petronas Team Gift 2017,2017,Speed Champions,120,,,,true,,,2017-05-23 13:37:33
41597,{?},2018,BrickHeadz,,,,,false,,,2017-08-23 05:40:52
41602,{?},2018,BrickHeadz,,,,,false,,,2017-08-23 05:41:26
41603,{?},2018,BrickHeadz,,,,,false,,,2017-08-23 05:41:54
41608,{?},2018,BrickHeadz,,,,,false,,,2017-08-23 05:41:17
41609,{?},2018,BrickHeadz,,,,,false,,,2017-08-23 05:41:40
42071,{?},2018,Technic,,,,,false,,,2017-08-24 05:34:12
42072,{?},2018,Technic,,,,,false,,,2017-08-24 05:34:43
42073,{?},2018,Technic,,,,,false,,,2017-08-24 05:36:45
42078,{?},2018,Technic,,,,,false,,,2017-08-24 05:35:57
42084,{?},2018,Technic,,,,,false,,,2017-08-24 05:35:32
70920,{?},2018,The LEGO Batman Movie,,,,,false,,,2017-08-24 05:17:45
70922,The Joker Manor,2017,The LEGO Batman Movie,3444,,269.99,,false,,,2017-09-26 15:26:47
75143,{?},2016,Star Wars,,,,,false,,,2016-05-26 18:55:45
